redirect_clients,type,value
16,throughput,10.941290131284541
16,read_latency,75352.5556214187
16,update_latency,107463.02915569954
16,throughput,11.259422729396665
16,read_latency,72360.75833333333
16,update_latency,105198.18145161291
16,throughput,11.130577253997547
16,read_latency,72082.03642515924
16,update_latency,107458.96864951769
16,throughput,11.68633867009466
16,read_latency,68655.94420261179
16,update_latency,102325.20279013344
16,throughput,11.291894339486287
16,read_latency,71548.89036341364
16,update_latency,104650.23030184241
16,throughput,11.64171459172507
16,read_latency,68557.98996789727
16,update_latency,102735.61822169059
16,throughput,11.090704215354858
16,read_latency,73714.3787542834
16,update_latency,105755.8438182179
16,throughput,11.06553340850519
16,read_latency,73366.82615726703
16,update_latency,106698.77439145063
16,throughput,11.172547709571857
16,read_latency,73342.64275834816
16,update_latency,105741.28953229399
16,throughput,11.192480443938544
16,read_latency,72919.54487688642
16,update_latency,105474.48952457696
16,throughput,11.098717543187885
16,read_latency,73468.2886332077
16,update_latency,106402.85198628755
16,throughput,11.061640994441525
16,read_latency,73453.59555642941
16,update_latency,107241.88156288156
16,throughput,11.103819602905203
16,read_latency,71860.3761008807
16,update_latency,107535.34492406074
16,throughput,11.012912640070482
16,read_latency,73577.60351367538
16,update_latency,107526.011420557
16,throughput,11.129239405520549
16,read_latency,71340.61848672389
16,update_latency,108032.62011620917
16,throughput,11.128062860201485
16,read_latency,73042.37972946481
16,update_latency,106917.760359257
16,throughput,11.195299765346517
16,read_latency,71913.19403880776
16,update_latency,106086.18916216756
16,throughput,10.975346080100271
16,read_latency,73905.59403946839
16,update_latency,107934.09912594358
16,throughput,10.91417095957391
16,read_latency,74462.50895140665
16,update_latency,108919.8547895058
16,throughput,11.496988363898076
16,read_latency,71118.6416115454
16,update_latency,102430.46477748953
16,throughput,11.057824682612788
16,read_latency,73516.72663598158
16,update_latency,106947.42474515291
16,throughput,11.009360158006338
16,read_latency,73470.22304609219
16,update_latency,107776.2882235529
16,throughput,11.261705134774456
16,read_latency,71531.18706328608
16,update_latency,105695.07473452215
16,throughput,11.747678658697042
16,read_latency,69840.81317798313
16,update_latency,99731.58661887694
16,throughput,11.075435901468492
16,read_latency,73892.93691727832
16,update_latency,106573.3809235733
1,throughput,65.48964314038557
1,read_latency,13450.319006647635
1,update_latency,17070.313543190336
1,throughput,61.18273570037101
1,read_latency,14780.288347728727
1,update_latency,17880.145446542894
1,throughput,60.33142464816221
1,read_latency,15091.945805985428
1,update_latency,18003.97849698081
1,throughput,59.77364914541614
1,read_latency,15196.509319018034
1,update_latency,18215.10968306707
1,throughput,60.27429626745393
1,read_latency,15122.94962015194
1,update_latency,18013.381412565024
1,throughput,59.7285219221594
1,read_latency,15471.24632433838
1,update_latency,17992.96012717711
1,throughput,59.455082279888366
1,read_latency,15418.40959534578
1,update_latency,18200.889618342066
1,throughput,59.88400468292917
1,read_latency,15318.527168254985
1,update_latency,18057.115879485336
1,throughput,65.06248601156551
1,read_latency,13585.736486756423
1,update_latency,17121.163502743402
1,throughput,60.524371045867184
1,read_latency,14865.90323030629
1,update_latency,18159.37046106907
1,throughput,59.47159487949568
1,read_latency,15442.19289796571
1,update_latency,18143.145282036912
1,throughput,60.733416740558994
1,read_latency,14946.330656919728
1,update_latency,17956.723449422225
1,throughput,59.45430461056242
1,read_latency,15528.065453378013
1,update_latency,18074.257919183463
1,throughput,59.878231628160975
1,read_latency,15266.4679883849
1,update_latency,18092.95150304604
1,throughput,60.02184795265477
1,read_latency,15165.733217000621
1,update_latency,18104.442554294717
1,throughput,59.789302497997056
1,read_latency,15159.766400319617
1,update_latency,18279.584601521827
1,throughput,61.160283979430574
1,read_latency,14856.930438254967
1,update_latency,17834.962376039268
1,throughput,59.47134729958454
1,read_latency,15554.540246382012
1,update_latency,18054.9881606935
1,throughput,65.92835697304453
1,read_latency,13317.009991441593
1,update_latency,16998.362823321342
1,throughput,59.6769448268742
1,read_latency,15411.168601160696
1,update_latency,18061.445172896263
1,throughput,59.46798749031415
1,read_latency,15591.243623447252
1,update_latency,17985.544360062988
1,throughput,65.88752472429366
1,read_latency,13329.967348889066
1,update_latency,17026.760085992126
1,throughput,60.25806117277854
1,read_latency,15065.516424232737
1,update_latency,18091.647421524664
1,throughput,59.76839745984311
1,read_latency,15306.111530097165
1,update_latency,18125.75737284228
1,throughput,59.91694313342844
1,read_latency,15323.00766107255
1,update_latency,18038.240986261924
8,throughput,19.999040046077788
8,read_latency,34311.750964858824
8,update_latency,64707.36241875123
8,throughput,20.16080256122836
8,read_latency,34837.37438032917
8,update_latency,64403.73411337502
8,throughput,20.63319137697666
8,read_latency,33050.807301017354
8,update_latency,63536.87988770804
8,throughput,21.43976604927287
8,read_latency,30777.883109058042
8,update_latency,61985.23083051185
8,throughput,20.634298330685265
8,read_latency,32235.17866248284
8,update_latency,65160.825545806976
8,throughput,20.993672507106357
8,read_latency,31749.102868447084
8,update_latency,63575.64954499494
8,throughput,19.97303640085884
8,read_latency,34455.97247890719
8,update_latency,65319.54062126643
8,throughput,19.91060139971528
8,read_latency,35318.400906225375
8,update_latency,65176.03269699431
8,throughput,19.787325822064453
8,read_latency,35398.33483054308
8,update_latency,64766.13386907095
8,throughput,19.95394629195816
8,read_latency,34406.13366935484
8,update_latency,65079.54107142857
8,throughput,19.726433815841904
8,read_latency,35123.27353356178
8,update_latency,65840.39888866838
