fieldlength,read-latency1,read-latency2,read-latency3,read-latency4,update-latency1,update-latency2,update-latency3,update-latency4,throughput1,throughput2,throughput3,throughput4
1048576,4956.9408678304235,4799.727632684078,4807.924316999781,4687.7598561294835,18947.542015037594,20675.002520302438,20730.15878113897,19764.223521169053,83.65659636445163,78.39718522746159,78.37242419231339, 81.70842511913088
262144,1897.6163314978853,1894.6038116144482,1896.2749550629119,1880.4785100286533,15619.08348704788,14761.043275205451,16149.291908672141,15356.246562399485,114.25398432206828,120.11103063672059,110.81683086027105,116.34346452222393
65536,1466.009388825496,1440.6228641818327,1466.9980969551282,1439.2989477489057,2658.3188402901274,2687.2141016348555,2548.145646964856,2649.8313413808214,483.0077860855117,483.6244752674443,495.87186670964223,486.677211339579
16384,1386.3469949167747,1368.191177940853,1393.954304080492,1388.698907800853,1825.943674124611,1813.6379603512773,1831.664422537469,1798.7136234094648,620.1511928608195,625.8997308631157,617.3944718498991,624.9609399412536
4096,1348.5842441617392,1366.5432207283698,1364.1096150388557,1343.0635301648263,1605.2890639127202,1599.4480507778867,1617.8157900006006,1599.202967525196,673.7772627124925,670.9158000670916,667.4364433646806,676.292564163257
1024,1454.0841839292518,1454.7061764941195,1431.368602391779,1443.811797471398,1662.1491831727606,1631.3045556355491,1650.1918968030511,1635.141382683516,638.6919588682379,644.9033289909843,645.7945856581938,646.3873411503109
256,1401.7089382578174,1403.9965086585269,1395.6563767507841,1379.2276602589882,1558.8103538189987,1572.8770350469163,1590.4868170807392,1572.5989098432403,671.9346341987851,668.4134538259987,666.1559471072178,673.7545646871757
64,1382.353377281744,1366.1018914703882,1378.1673806060849,1358.4596745171739,1559.5832551454296,1554.3067658944503,1559.2714368889156,1557.2386058981233,676.0273926299494,681.2267531370492,677.2956937539791,682.4075337791729
16,1416.349889358278,1405.0729502775719,1396.440425150059,1393.1944599664723,1574.6516007158482,1595.7668802267328,1591.093575110826,1586.9920828990619,664.8891962154507,662.8662335940608,665.8720593425179,667.6057654433904
4,1393.2020175789053,1397.1302236726897,1405.1088098424175,1374.3740884686274,1587.5495794953945,1589.8420841038835,1587.160761851355,1564.7484625828608,667.4631727194452,666.2802241366674,664.8759341506875,676.8006280709828
1,1406.09599919984,1407.4299149574788,1404.6845926753372,1399.7574877291395,1585.2853829234152,1593.48055972014,1610.2056830031283,1583.7464709993012,665.2076445662514,663.0640188310182,660.0790774734813,666.5955631399318
